INSTNM,CITY,STABBR,ZIP,COSTT4_A
Seattle University,Seattle,WA,98122-4340,58371
Shoreline Community College,Shoreline,WA,98133-5696,11782
Skagit Valley College,Mount Vernon,WA,98273,12682
South Puget Sound Community College,Olympia,WA,98512-6292,12510
Spokane Community College,Spokane,WA,99217-5399,10808
Spokane Falls Community College,Spokane,WA,99224-5288,12457
Stylemaster College of Hair Design,Longview,WA,98632-3027,NULL
Tacoma Community College,Tacoma,WA,98466-6100,11465
Walla Walla Community College,Walla Walla,WA,99362-9267,11689
Walla Walla University,College Place,WA,99324-1198,37913
Washington State University,Pullman,WA,99164-5910,25433
University of Washington-Seattle Campus,Seattle,WA,98195-4550,25360
Wenatchee Valley College,Wenatchee,WA,98801-1799,13339
Western Washington University,Bellingham,WA,98225-9008,22374
Whatcom Community College,Bellingham,WA,98226,12828
Whitman College,Walla Walla,WA,99362,61972
Whitworth University,Spokane,WA,99251,55273
Yakima Valley College,Yakima,WA,98907-2520,13203
Alderson Broaddus University,Philippi,WV,26416-2035,37162
Appalachian Beauty School,Belfry,KY,41514,NULL
Appalachian Bible College,Mount Hope,WV,25880-9557,24699
Ben Franklin Career Center,Dunbar,WV,25064,18840
Bethany College,Bethany,WV,26032,41220
Bluefield State College,Bluefield,WV,24701,15638
Cabell County Career Technology Center,Huntington,WV,25705-2827,NULL
Charleston School of Beauty Culture,Charleston,WV,25301,NULL
University of Charleston,Charleston,WV,25304,40161
Clarksburg Beauty Academy and School of Massage Therapy,Clarksburg,WV,26301,NULL
Concord University,Athens,WV,24712,15780
Davis & Elkins College,Elkins,WV,26241-3996,41055
Fairmont State University,Fairmont,WV,26554-2470,17657
Glenville State College,Glenville,WV,26351-1292,21270
Huntington Junior College,Huntington,WV,25701,13745
James Rumsey Technical Institute,Martinsburg,WV,25403-0259,NULL
Ralph R Willis Career and Technical Center,Stollings,WV,25646,NULL
Marshall University,Huntington,WV,25755,18315
Mercer County Technical Education Center,Princeton,WV,24740,NULL
Meredith Manor International Equestrian Center,Waverly,WV,26184,30201
Monongalia County Technical Education Center,Morgantown,WV,26501-6841,NULL
Morgantown Beauty College Inc,Morgantown,WV,26505-5430,NULL
Mountain State College,Parkersburg,WV,26101-3993,21282
Opportunities Industrialization Center,Fairmont,WV,26554,NULL
Ohio Valley University,Vienna,WV,26105-8000,29710
West Virginia University at Parkersburg,Parkersburg,WV,26104,9888
Potomac State College of West Virginia University,Keyser,WV,26726,13622
Academy of Careers and Technology,Beckley,WV,25801,NULL
Salem University,Salem,WV,26426,24396
Shepherd University,Shepherdstown,WV,25443,16387
Southern West Virginia Community and Technical College,Mount Gay,WV,25637,10416
Fred W Eberle Technical Center,Buckhannon,WV,26201,NULL
West Virginia School of Osteopathic Medicine,Lewisburg,WV,24901,NULL
West Virginia State University,Institute,WV,25112-1000,16585
West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV,26506-8062,NULL
West Liberty University,West Liberty,WV,26074,20767
West Virginia University Institute of Technology,Beckley,WV,25801,16296
West Virginia Wesleyan College,Buckhannon,WV,26201-2994,43477
West Virginia Junior College-Charleston,Charleston,WV,25301,18268
West Virginia Junior College-Morgantown,Morgantown,WV,26505,22605
International Beauty School 4,Martinsburg,WV,25401,NULL
West Virginia Northern Community College,Wheeling,WV,26003-3699,9721
West Virginia University,Morgantown,WV,26506,20702
Wheeling Jesuit University,Wheeling,WV,26003,38805
Wood County School of Practical Nursing,Parkersburg,WV,26104,NULL
VICI Beauty School,Greenfield,WI,53228,NULL
Alverno College,Milwaukee,WI,53234-3922,36436
Madison Area Technical College,Madison,WI,53704-2599,14887
Bellin College,Green Bay,WI,54311,30833
Beloit College,Beloit,WI,53511-5595,57208
Blackhawk Technical College,Janesville,WI,53547-5009,12728
Cardinal Stritch University,Milwaukee,WI,53217-3985,38738
Carroll University,Waukesha,WI,53186,42003
Carthage College,Kenosha,WI,53140-1994,53282
Columbia College of Nursing,Glendale,WI,53212,NULL
Concordia University-Wisconsin,Mequon,WI,53097-2402,42149
Edgewood College,Madison,WI,53711-1997,40472
Fox Valley Technical College,Appleton,WI,54912-2277,14961
Gateway Technical College,Kenosha,WI,53144-1690,12821
The Professional Hair Design Academy,Eau Claire,WI,54701-7633,NULL
Lakeland University,Plymouth,WI,53073,38062
Lakeshore Technical College,Cleveland,WI,53015-1414,13685
Lawrence University,Appleton,WI,54911,56823
Maranatha Baptist University,Watertown,WI,53094,24832
Marian University,Fond Du Lac,WI,54935-4699,38643
Marquette University,Milwaukee,WI,53233,52916
Medical College of Wisconsin,Milwaukee,WI,53226-0509,NULL
Mid-State Technical College,Wisconsin Rapids,WI,54494,13895
Milwaukee Area Technical College,Milwaukee,WI,53233-1443,12882
Milwaukee Institute of Art & Design,Milwaukee,WI,53202-6003,45542
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,49230
Moraine Park Technical College,Fond du Lac,WI,54936-1940,12964
Mount Mary University,Milwaukee,WI,53222-4597,41962
Nashotah House,Nashotah,WI,53058-9793,NULL
Nicolet Area Technical College,Rhinelander,WI,54501-0518,13281
Northcentral Technical College,Wausau,WI,54401-1899,14690
Northeast Wisconsin Technical College,Green Bay,WI,54307-9042,14511
Northland College,Ashland,WI,54806-3999,44920
Ripon College,Ripon,WI,54971-0248,49078
Sacred Heart Seminary and School of Theology,Franklin,WI,53132,NULL
Saint Norbert College,De Pere,WI,54115-2099,46159
Silver Lake College of the Holy Family,Manitowoc,WI,54220-9319,39664
State College of Beauty Culture Inc,Wausau,WI,54403,NULL
Southwest Wisconsin Technical College,Fennimore,WI,53809-9778,13790
Bryant & Stratton College-Milwaukee,Milwaukee,WI,53203-2608,22423
University of Wisconsin Colleges,Madison,WI,53708,12200
Viterbo University,La Crosse,WI,54601-8804,37585
Chippewa Valley Technical College,Eau Claire,WI,54701-6162,14225
Waukesha County Technical College,Pewaukee,WI,53072-4601,14014
Western Technical College,La Crosse,WI,54601,12976
University of Wisconsin-Whitewater,Whitewater,WI,53190-1790,17480
Wisconsin Indianhead Technical College,Shell Lake,WI,54871-8727,14618
Wisconsin School of Professional Psychology,Milwaukee,WI,53225-4960,NULL
Paul Mitchell the School-Green Bay,De Pere,WI,54115,NULL
University of Wisconsin-Eau Claire,Eau Claire,WI,54701,19591
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,18302
University of Wisconsin-La Crosse,La Crosse,WI,54601-9959,17235
Wisconsin Lutheran College,Milwaukee,WI,53226-4699,39394
University of Wisconsin-Oshkosh,Oshkosh,WI,54901,18333
University of Wisconsin-Parkside,Kenosha,WI,53144,15399
Herzing University-Madison,Madison,WI,53718,28128
University of Wisconsin-Stout,Menomonie,WI,54751,19233
University of Wisconsin-Superior,Superior,WI,54880-4500,17820
University of Wisconsin-Madison,Madison,WI,53706-1380,25121
University of Wisconsin-Milwaukee,Milwaukee,WI,53211,21701
University of Wisconsin-Platteville,Platteville,WI,53818-3099,18494
University of Wisconsin-River Falls,River Falls,WI,54022-5001,18201
University of Wisconsin-Stevens Point,Stevens Point,WI,54481-3897,17767
Casper College,Casper,WY,82601-4699,11180
Central Wyoming College,Riverton,WY,82501,10410
Eastern Wyoming College,Torrington,WY,82240-1699,12200
Laramie County Community College,Cheyenne,WY,82007-3299,10812
Northwest College,Powell,WY,82435,12424
Northern Wyoming Community College District,Sheridan,WY,82801,12020
Western Wyoming Community College,Rock Springs,WY,82901,11194
Cheeks Beauty Academy,Cheyenne,WY,82001-4413,NULL
WyoTech,Laramie,WY,82070-9519,NULL
University of Wyoming,Laramie,WY,82071,19615
American Samoa Community College,PagoPago,AS,96799-2609,7400
Guam Community College,Mangilao,GU,96913,11632
University of Guam,Mangilao,GU,96923,13534
Northern Marianas College,Saipan,MP,96950-1250,8734
Institute of Beauty Careers,Arecibo,PR,613,NULL
Educational Technical College-Recinto de Bayamon,BAYAMON,PR,961,NULL
American University of Puerto Rico,Bayamon,PR,00960-2037,16567
American University of Puerto Rico,Manati,PR,00674-1082,16800
American Educational College,Bayamon,PR,961,9223
Antilles School of Technical Careers,San Juan,PR,909,NULL
Universidad Adventista de las Antillas,Mayaguez,PR,00680-0000,13227
Atlantic University College,Guaynabo,PR,970,9598
Universidad Central de Bayamon,Bayamón,PR,00960-1725,12125
Columbia Central University-Caguas,Caguas,PR,726,9095
Carlos Albizu University-San Juan,San Juan,PR,00902-3711,16785
Caribbean University-Bayamon,Bayamon,PR,00960-0493,8693
Caribbean University-Carolina,Carolina,PR,985,9572
Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR,00614-4045,13809
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,00717-9997,14956
CEM College-San Juan,San Juan,PR,00926-1931,12347
Universidad Teologica del Caribe,Trujillo Alto,PR,00978-0901,11322
Colegio Universitario de San Juan,San Juan,PR,918,5950
Universidad Ana G. Mendez-Cupey Campus,San Juan,PR,00926-2602,13515
Conservatory of Music of Puerto Rico,San Juan,PR,00907-3373,12206
Center for Advanced Studies On Puerto Rico and the Caribbean,San Juan,PR,901,NULL
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,685,13272
Emma's Beauty Academy-Mayaguez,Mayaguez,PR,680,NULL
Instituto Tecnologico de Puerto Rico-Recinto de Manati,Manati,PR,00674-1091,5025
Huertas College,Caguas,PR,725,11163
Humacao Community College,Humacao,PR,791,9010
ICPR Junior College-Arecibo,Arecibo,PR,00614-0067,12444
ICPR Junior College-Mayaguez,Mayaguez,PR,00681-1108,12030
Instituto de Educacion Tecnica Ocupacional La Reine-Manati,Manati,PR,00674-0000,NULL
Richport Technical College,Gurabo,PR,778,NULL
Instituto de Banca y Comercio Inc,Guaynabo,PR,00966-2309,NULL
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Guayama,PR,00784-0000,7061
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Ponce,PR,00717-0306,3930
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,San Juan,PR,924,4007
Inter American University of Puerto Rico-San German,San German,PR,683,13136
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,603,11285
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,614,12820
Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR,794,11470
Inter American University of Puerto Rico-Metro,San Juan,PR,919,15638
Inter American University of Puerto Rico-Ponce,Mercedita,PR,00715-1602,10605
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,00738-7003,11053
Inter American University of Puerto Rico-Guayama,Guayama,PR,784,13276
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,00957-6257,10738
Inter American University of Puerto Rico-School of Law,San Juan,PR,00936-8351,NULL
International Technical College,San Juan,PR,00918-3325,NULL
Liceo de Arte y Tecnologia,San Juan,PR,917,NULL
Modern Hairstyling Institute-Bayamon,Bayamon,PR,961,NULL
Modern Hairstyling Institute-Arecibo,Arecibo,PR,612,NULL
National University College,Bayamon,PR,960,14223
Ponce Paramedical College Inc,Ponce,PR,00716-2901,NULL
Ponce Health Sciences University,Ponce,PR,732,NULL
University of Puerto Rico-Aguadilla,Aguadilla,PR,00604-6150,8867
University of Puerto Rico-Mayaguez,Mayaguez,PR,681,14159
University of Puerto Rico-Medical Sciences,San Juan,PR,00936-5067,NULL
Universidad Ana G. Mendez-Carolina Campus,Carolina,PR,00985-0985,13315
Universidad del Sagrado Corazon,Santurce,PR,907,14329
Seminario Evangelico de Puerto Rico,San Juan,PR,925,NULL
Universidad Central Del Caribe,Bayamon,PR,00960-6032,23124
Universidad Politecnica de Puerto Rico,Hato Rey,PR,919,20061
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,00680-1713,13208
Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR,00778-3030,13465
College of Micronesia-FSM,Pohnpei,FM,96941,9554
Palau Community College,Koror,PW,96940,6085
University of the Virgin Islands,Charlotte Amalie,VI,00802-9990,16786
Stanford University,Stanford,CA,94305,66696
Purdue University-Main Campus,West Lafayette,IN,47907-2040,22718
Blue Hills Regional Technical School,Canton,MA,2021,NULL
Parker University,Dallas,TX,75229-5668,33456
EDP University of Puerto Rico Inc-San Juan,San Juan,PR,00919-2303,12497
ICPR Junior College-General Institutional,Hato Rey,PR,00919-0304,12123
City College-Fort Lauderdale,Fort Lauderdale,FL,33309,28175
Meridian College,Sarasota,FL,34240,NULL
Georgia State University-Perimeter College,Atlanta,GA,30303-3083,10600
Georgia Piedmont Technical College,Clarkston,GA,30021-2397,13959
Cortiva Institute-Chicago,Chicago,IL,60602,NULL
ETI School of Skilled Trades,Willowbrook,IL,60527,NULL
Trend Setters' Academy of Beauty Culture-Elizabethtown,Elizabethtown,KY,42701,NULL
Traxlers School of Hair,Jackson,MS,39212,NULL
Vatterott College-Berkeley,Berkeley,MO,63134,24009
Metro Business College-Rolla,Rolla,MO,65401,NULL
Metro Business College-Jefferson City,Jefferson City,MO,65109,16392
Warren County Community College,Washington,NJ,07882-4343,10933
St. John's College,Santa Fe,NM,87505-4599,63690
Bais Medrash Elyon,Monsey,NY,10952,NULL
Antioch University-Los Angeles,Culver City,CA,90230-7615,NULL
Antioch University-Santa Barbara,Santa Barbara,CA,93101,NULL
Antioch University-New England,Keene,NH,3431,NULL
Antioch University-Seattle,Seattle,WA,98121-1814,NULL
Antioch University-Midwest,Yellow Springs,OH,45387,NULL
Mid-America Christian University,Oklahoma City,OK,73170-9797,24310
Platt College,Tulsa,OK,74145,NULL
Ponca City Beauty College,Ponca City,OK,74601,NULL
Francis Tuttle Technology Center,Oklahoma City,OK,73142-2789,NULL
Central Technology Center,Drumright,OK,74030,NULL
Carrington College-Portland,Portland,OR,97232-1309,NULL
Career Technology Center of Lackawanna County,Scranton,PA,18508,NULL
Brightwood College-Nashville,Nashville,TN,37217-5318,NULL
Brightwood College-El Paso,El Paso,TX,79907,NULL
Houston Graduate School of Theology,Houston,TX,77035-3602,NULL
Palo Alto College,San Antonio,TX,78224-2499,11953
Sebring Career Schools-Huntsville,Huntsville,TX,77340,NULL
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,San Antonio,TX,78201,NULL
Central Texas Beauty College-Round Rock,Round Rock,TX,78664-4604,NULL
Unification Theological Seminary,Barrytown,NY,12507,NULL
Athens Technical College,Athens,GA,30601,10278
GateWay Community College-Central City,Phoenix,AZ,85034-4101,NULL
Carrington College-San Leandro,San Leandro,CA,94578-1977,NULL
Headmasters School of Hair Design,Lewiston,ID,83501,NULL
The Salon Professional Academy-Nampa,Nampa,ID,83686-5104,NULL
Beckfield College-Florence,Florence,KY,41042,31937
Dorsey Business Schools-Wayne,Wayne,MI,48184,28251
Ecumenical Theological Seminary,Detroit,MI,48201-3035,NULL
Ross Medical Education Center-Saginaw,Saginaw,MI,48603,NULL
Sussex County Community College,Newton,NJ,7860,15608
Landmark College,Putney,VT,5346,69020
National American University-Independence,Independence,MO,64057-1791,NULL
Yeshiva Gedolah of Greater Detroit,Oak Park,MI,48237,12600
Austin Graduate School of Theology,Austin,TX,78752,NULL
Collin County Community College District,McKinney,TX,75069,10166
Owensboro Community and Technical College,Owensboro,KY,42303,11642
Jenny Lea Academy of Cosmetology,Whitesburg,KY,41858,NULL
Empire Beauty School-Hurstborne,Louisville,KY,40291,NULL
Cloyd's Beauty School 3 Inc,Monroe,LA,71201,NULL
Moore Norman Technology Center,Norman,OK,73069-8399,NULL
Fayette County Career & Technical Institute Practical Nursing Program,Uniontown,PA,15401,NULL
Franklin County Career and Technology Center,Chambersburg,PA,17202,NULL
Paul Mitchell the School-Knoxville,Knoxville,TN,37919,NULL
Ogle School Hair Skin Nails-Hurst,Hurst,TX,76053-4650,NULL
FIDM-Fashion Institute of Design & Merchandising-San Diego,San Diego,CA,92101-4903,41897
National American University-Albuquerque,Albuquerque,NM,87110-3976,NULL
Tennessee College of Applied Technology Nashville,Nashville,TN,37209-4515,NULL
ECPI University,Virginia Beach,VA,23462,25429
Branford Hall Career Institute-Jersey City,Jersey City,NJ,7306,NULL
Paul Mitchell the School-Houston,Houston,TX,77043,NULL
TDDS Technical Institute,Lake Milton,OH,44429,NULL
Fortis Institute-Forty Fort,Forty Fort,PA,18704-2936,23467
Laurel Business Institute,Uniontown,PA,15401,13900
Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA,19114-1018,24346
Carrington College-Phoenix East,Phoenix,AZ,85021,NULL
Dorsey Business Schools-Roseville,Roseville,MI,48066,31993
Moler-Pickens Beauty Academy,Fairfield,OH,45014,NULL
Red River Technology Center,Duncan,OK,73533,NULL
Brightwood Career Institute-Harrisburg,Harrisburg,PA,17111,NULL
Southern Union State Community College,Wadley,AL,36276,15101
South University-Columbia,Columbia,SC,29203,27413
Everest University-Brandon,Tampa,FL,33619-1354,NULL
Clinton Technical School,Clinton,MO,64735,NULL
Greene County Career and Technology Center,Waynesburg,PA,15370-8281,NULL
Lac Courte Oreilles Ojibwa Community College,Hayward,WI,54843,16665
Diesel Driving Academy-Shreveport,Shreveport,LA,71109,NULL
Pima Medical Institute-Mesa,Mesa,AZ,85202,NULL
Platt College-Los Angeles,Alhambra,CA,91803,30725
Platt College-Aurora,Aurora,CO,80014-3141,NULL
Purdue University Global-Davenport,Davenport,IA,52807-2095,19555
Purdue University Global-Cedar Falls,Cedar Falls,IA,50613,NULL
Paul Mitchell the School-Boise,Boise,ID,83709,NULL
Christian Life College,Mount Prospect,IL,60056-2522,16005
Educators of Beauty College of Cosmetology-Rockford,Rockford,IL,61114,NULL
Northwestern College-Southwestern Campus,Bridgeview,IL,60455,29360
Douglas J Aveda Institute,East Lansing,MI,48823,NULL
Ross Medical Education Center-Brighton,Brighton,MI,48116,NULL
Ross Medical Education Center-Ann Arbor,Ann Arbor,MI,48108-1411,NULL
Taylortown School of Beauty Inc,Taylor,MI,48180-1866,NULL
Pike-Lincoln Technical Center,Eolia,MO,63344-0038,NULL
Pennsylvania Institute of Health and Technology,Mount Braddock,PA,15465,22272
Bethel Seminary-San Diego,San Diego,CA,92115,NULL
St Charles Community College,Cottleville,MO,63376-0975,7244
Brandman University,Irvine,CA,92618,29020
New College of Florida,Sarasota,FL,34243-2109,20395
Montana Bible College,Bozeman,MT,59718,NULL
Conservatory of Recording Arts and Sciences,Tempe,AZ,85282-1707,NULL
Adrian's College of Beauty Turlock,Turlock,CA,95380,NULL
California Career School,Anaheim,CA,92805,NULL
Rolf Institute of Structural Integration,Boulder,CO,80301-0000,NULL
Sunstate Academy,Fort Myers,FL,33907,NULL
Elizabeth Grady School of Esthetics and Massage Therapy,Medford,MA,2155,NULL
Ross Medical Education Center-Port Huron,Port Huron,MI,48060,NULL
Capri Institute of Hair Design-Clifton,Clifton,NJ,7011,NULL
Raphael's School of Beauty Culture Inc-Alliance,Alliance,OH,44601,NULL
Metro Technology Centers,Oklahoma City,OK,73111-5240,NULL
Hussian College-Daymar College Bowling Green,Bowling Green,KY,42101,25749
Altierus Career College Everett,Everett,WA,98208-3700,26272
Luna Community College,Las Vegas,NM,87701,9729
Grabber School of Hair Design,St. Louis,MO,63126,NULL
Yeshivah Gedolah Rabbinical College,Miami Beach,FL,33139,17300
University of the District of Columbia-David A Clarke School of Law,Washington,DC,20008,NULL
Raphael's School of Beauty Culture Inc-Brunswick,Brunswick,OH,44212,NULL
Caribbean University-Ponce,Ponce,PR,00716-7733,9464
Caribbean University-Vega Baja,Vega Baja,PR,964,9218
University of Advancing Technology,Tempe,AZ,85283,30799
Paradise Valley Community College,Phoenix,AZ,85032,11400
Chandler-Gilbert Community College,Chandler,AZ,85225-2499,11533
HSHS St. John's Hospital School of Clinical Laboratory Science,Springfield,IL,62769,NULL
Madison Media Institute,Madison,WI,53718,15335
Great Plains Technology Center,Lawton,OK,73505-8399,NULL
Roane-Jackson Technical Center,Leroy,WV,25252-9700,NULL
Pioneer Technology Center,Ponca City,OK,74601,NULL
Portage Lakes Career Center,Uniontown,OH,44685,NULL
Eastern College of Health Vocations-New Orleans,New Orleans,LA,70123,NULL
Bell Mar Beauty College,Cicero,IL,60804,NULL
Caddo Kiowa Technology Center,Fort Cobb,OK,73038-0190,NULL
Brightwood College-San Antonio-San Pedro,San Antonio,TX,78216-1899,NULL
Center for Instruction Technology & Innovation (CiTi),Mexico,NY,13114,NULL
International School of Skin Nailcare & Massage Therapy,Atlanta,GA,30342,NULL
Palomar Institute of Cosmetology,San Marcos,CA,92078,NULL
Southern Oklahoma Technology Center,Ardmore,OK,73401,NULL
Vista College,El Paso,TX,79925-2021,23070
Autry Technology Center,Enid,OK,73703-2506,NULL
Greene County Vocational School District,Xenia,OH,45385-9545,NULL
Canadian Valley Technology Center,El Reno,OK,73036-9117,NULL
Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA,18705-0699,NULL
Mayo Clinic Graduate School of Biomedical Sciences,Rochester,MN,55905,NULL
Meridian Technology Center,Stillwater,OK,74074-1899,NULL
Waynesville Career Center,Waynesville,MO,65583,NULL
Capitol School of Hairstyling and Esthetics,Omaha,NE,68137-2325,NULL
Morris County Vocational School District,Denville,NJ,7834,NULL
Ross Medical Education Center-Roosevelt Park,Roosevelt Park,MI,49441,NULL
Ross Medical Education Center-Kentwood,Kentwood,MI,49508,NULL
South Florida Bible College and Theological Seminary,Deerfield Beach,FL,33442,19210
Cloyd's Barber School 2 Inc,Monroe,LA,71201,NULL
Universal Technical Institute of Illinois Inc,Lisle,IL,60532-0000,NULL
Pennsylvania College of Technology,Williamsport,PA,17701-5799,29647
Commonwealth Institute of Funeral Service,Houston,TX,77090-5918,27837
Delta College of Arts & Technology,Baton Rouge,LA,70806-1529,NULL
InterCoast Colleges-Anaheim,Anaheim,CA,92805,NULL
Stone Child College,Box Elder,MT,59521-9796,11749
New York Academy of Art,New York,NY,10013-2911,NULL
Suffolk County Community College,Selden,NY,11784-2899,11260
Las Positas College,Livermore,CA,94551-7650,10563
Blades School of Hair Design,California,MD,20619,NULL
Ogeechee Technical College,Statesboro,GA,30458,11879
Remington College-Mobile Campus,Mobile,AL,36609,24794
Southern Technical College,Fort Myers,FL,33907-1108,23532
Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,IA,52402,NULL
Southwest Acupuncture College-Santa Fe,Santa Fe,NM,87505,NULL
Northwest Technology Center-Alva,Alva,OK,73717,NULL
Mercer County Career Center,Mercer,PA,16137,NULL
California State University-San Marcos,San Marcos,CA,92096-0001,19191
Argosy University-Hawaii,Honolulu,HI,96813,25795
Baptist Theological Seminary at Richmond,Henrico,VA,23228,NULL
Brightwood College-Modesto,Salida,CA,95368,NULL
Purdue University Global-Des Moines,Urbandale,IA,50323-5702,23836
Hairmasters Institute of Cosmetology,Bloomington,IL,61701,NULL
Tricoci University of Beauty Cuture LLC-Bloomington,Bloomington,IN,47404,NULL
Interactive College of Technology-Newport,Newport,KY,41071,17415
Platt College-McCann-Monroe,Monroe,LA,71201,24818
Ross Medical Education Center-Taylor,Taylor,MI,48180,NULL
National Tractor Trailer School Inc-Liverpool,Liverpool,NY,13088-0208,NULL
Interactive College of Technology,Houston,TX,77063,17785
Butler Beauty Academy-New Castle Beauty Academy,New Castle,PA,16101,NULL
NorthWest Arkansas Community College,Bentonville,AR,72712-5091,11287
Brewster Technical College,Tampa,FL,33602-2196,NULL
Hodges University,Naples,FL,34119-8098,26352
Argosy University-Atlanta,Atlanta,GA,30328,25310
University of St. Augustine for Health Sciences,San Marcos,CA,92069,NULL
Capital Area School of Practical Nursing,Springfield,IL,62712-3803,NULL
Hair Professionals Career College,Palos Hills,IL,60465,NULL
Alexandria School of Scientific Therapeutics,Alexandria,IN,46001-0287,NULL
Empire Beauty School-Bloomfield,Bloomfield,NJ,7003,NULL
Southwest Technology Center,Altus,OK,73521,NULL
Western Area Career & Technology Center,Canonsburg,PA,15317,NULL
Hussian College-Daymar College Clarksville,Clarksville,TN,37040,26587
Nossi College of Art,Madison,TN,37115,24734
Seguin Beauty School-New Braunfels,New Braunfels,TX,78130,NULL
Pima Medical Institute-Seattle,Seattle,WA,98115,NULL
Mineral County Vocational Technical Center,Keyser,WV,26726,NULL
Hypnosis Motivation Institute,Tarzana,CA,91356-4159,NULL
Los Angeles ORT College-Los Angeles Campus,Los Angeles,CA,90048,NULL
Thanh Le College School of Cosmetology,Garden Grove,CA,92840,NULL
Southeastern Technical College,Vidalia,GA,30474,9522
Massachusetts School of Law,Andover,MA,1810,NULL
Community Services Division-Alliance City,Alliance,OH,44601,NULL
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,32837,NULL
Erwin Technical College,Tampa,FL,33610-8299,NULL
Rosel School of Cosmetology,Niles,IL,60714,NULL
Worsham College of Mortuary Science,Wheeling,IL,60090-2646,NULL
Bryan University,Springfield,MO,65804,25093
Oregon College of Oriental Medicine,Portland,OR,97209,NULL
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,16823,NULL
Northwest Educational Center,Houston,TX,77092,NULL
Sebring Career Schools-Houston,Houston,TX,77083,NULL
PCI Health Training Center,Dallas,TX,75247-4720,NULL
Miami-Jacobs Career College-Columbus,Columbus,OH,43215,26872
Bryant & Stratton College-Solon,Solon,OH,44139,22059
Hamrick School,Medina,OH,44256,NULL
Alabama State College of Barber Styling,Gardendale,AL,35071,NULL
Fortis College,Mobile,AL,36608,28642
Downey Adult School,Downey,CA,90241,NULL
CRU Institute of Cosmetology and Barbering,Garden Grove,CA,92845-4321,NULL
Modern Technology School,Fountain Valley,CA,92708-9821,NULL
National Career Education,Citrus Heights,CA,95610,NULL
Thuy Princess Beauty College,Pomona,CA,91766,NULL
North-West College-Glendale,Glendale,CA,91203,NULL
Fremont College,Cerritos,CA,90703,NULL
Pomona Unified School District Adult and Career Education,Pomona,CA,91766-1233,NULL
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,90008,NULL
IBMC College,Fort Collins,CO,80525,23647
Xenon International Academy-Denver,Aurora,CO,80014,NULL
Academy of Cosmetology,Merritt Island,FL,32953,NULL
Sunstate Academy,Clearwater,FL,33765-2702,NULL
Fortis College-Smyrna,Smyrna,GA,30080-1348,24424
Remington College-Honolulu Campus,Honolulu,HI,96813-2811,26727
Vatterott College-Des Moines,Des Moines,IA,50321,24207
Ross College-Quad Cities,Bettendorf,IA,52722,NULL
Pivot Point Academy,Bloomingdale,IL,60108-0000,NULL
Blalock's Professional Beauty College,Shreveport,LA,71108-5745,NULL
Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,70815,NULL
New England Hair Academy,Malden,MA,2148,NULL
Rob Roy Academy-Worcester,Worcester,MA,1609,NULL
Upper Cape Cod Regional Technical School,Bourne,MA,2532,NULL
All-State Career-Baltimore,Baltimore,MD,21224,NULL
Adler Graduate School,Minnetonka,MN,55343,NULL
Academy of Hair Design-Jackson,Jackson,MS,39211,NULL
KC's School of Hair Design,Pontotoc,MS,38863-0000,NULL
Lincoln Technical Institute-Moorestown,Moorestown,NJ,8057,NULL
Monmouth County Vocational School District,Freehold,NJ,07728-5033,NULL
Brightwood College-Las Vegas,Las Vegas,NV,89102,NULL
Beauty School of Middletown,Middletown,NY,10940,NULL
Bryant & Stratton College-Southtowns,Orchard Park,NY,14127,22090
Continental School of Beauty Culture-Olean,Olean,NY,14760,NULL
National Tractor Trailer School Inc-Buffalo,Buffalo,NY,14210-2007,NULL
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,11219,14478
Cleveland Institute of Dental-Medical Assistants-Mentor,Mentor,OH,44060-2035,NULL
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,Lyndhurst,OH,44124-2928,NULL
Knox County Career Center,Mount Vernon,OH,43050,NULL
Madison Adult Career Center,Mansfield,OH,44905,NULL
Remington College-Cleveland Campus,Cleveland,OH,44125-1957,24793
